Id,SalePrice,LotArea,TotalSF,TotalBath,BedroomAbvGr,GarageCars,WoodDeckSF,YearBuilt,YearRemodAdd
1,208500,8450,2566,2.5,3,2,0,2003,2003
2,181500,9600,2524,2,3,2,298,1976,1976
3,223500,11250,2706,2.5,3,2,0,2001,2002
4,140000,9550,2473,1,3,3,0,1915,1970
5,250000,14260,3343,2.5,4,3,192,2000,2000
6,143000,14115,2158,1.5,1,2,40,1993,1995
7,307000,10084,3380,2,3,2,255,2004,2005
8,200000,10382,3197,2.5,3,2,235,1973,1973
9,129900,6120,2726,2,2,2,90,1931,1950
10,118000,7420,2068,1,2,1,0,1939,1950
11,129500,11200,2080,1,3,1,0,1965,1965
12,345000,11924,3499,3,4,3,147,2005,2006
13,144000,12968,1824,1,2,1,140,1962,1962
14,279500,10652,2988,2,3,3,160,2006,2007
15,157000,10920,2506,1.5,2,1,0,1960,1960
16,132000,6120,1686,1,2,2,48,1929,2001
17,149000,11241,2008,1,2,2,0,1970,1970
18,90000,10791,1296,2,2,2,0,1967,1967
19,159000,13695,2228,1.5,3,2,0,2004,2004
20,139000,7560,2368,1,3,1,0,1958,1965
21,325300,14215,3534,3.5,4,3,240,2005,2006
22,139400,7449,1745,1,3,1,0,1930,1950
23,230000,9742,3572,2,3,2,171,2002,2002
24,129900,4224,2100,1,3,2,100,1976,1976
25,154000,8246,2120,1,3,1,406,1968,2001
26,256300,14230,3166,2,3,3,0,2007,2007
27,134800,7200,1800,1,3,2,222,1951,2000
28,306000,11478,3408,2,3,3,0,2007,2008
29,207500,16321,3084,1,2,1,288,1957,1997
30,68500,6324,1040,1,1,1,49,1927,1950
31,40000,8500,1966,1,3,1,0,1920,1950
32,149350,8544,2456,1.5,3,1,0,1966,2006
33,179900,11049,2468,2,3,2,0,2007,2007
34,165500,10552,3098,1.5,4,2,0,1959,1959
35,277500,7313,3122,2,2,2,203,2005,2005
36,309000,13418,3569,3.5,4,3,113,2004,2005
37,145000,10859,2194,1.5,3,2,392,1994,1995
38,153000,8532,2594,1,3,2,0,1954,1990
39,109000,7922,2114,1,3,1,0,1953,2007
40,82000,6040,1152,2,2,0,0,1955,1955
41,160000,8658,2412,2,3,2,0,1965,1965
42,170000,16905,2678,1.5,2,1,0,1959,1959
43,144000,9180,1724,1,2,2,240,1983,1983
44,130250,9200,1876,1,3,1,145,1975,1980
45,141000,7945,2300,1,3,1,0,1959,1959
46,319900,7658,3504,2,2,2,196,2005,2005
47,239686,12822,3583,1.5,1,2,168,2003,2003
48,249700,11096,3312,2,3,3,0,2006,2006
49,113000,4456,2188,2,2,0,0,1920,2008
50,127000,7742,1910,1,3,1,0,1966,1966
51,177000,13869,2264,2,3,2,0,1997,1997
52,114500,6240,1632,1,3,2,112,1934,1950
53,110000,8472,1632,1,2,2,106,1963,1963
54,385000,50271,3684,0.5,0,3,857,1981,1987
55,130000,7134,1744,1,3,2,0,1955,1955
56,180500,10175,2850,2,3,2,0,1964,1964
57,172500,2645,2709,2.5,3,2,115,1999,2000
58,196500,11645,2580,2.5,3,2,0,2004,2004
59,438780,13682,4355,3.5,3,3,192,2006,2006
60,124900,7200,1560,1,2,1,196,1972,1972
61,158000,13072,2316,1.5,3,2,0,2004,2004
62,101000,7200,1641,1,3,1,0,1920,1996
63,202500,6442,2740,2,2,2,120,2006,2006
64,140000,10300,2286,2,3,2,12,1921,1950
65,219500,9375,3091,2.5,3,2,576,1997,1998
66,317000,9591,3616,2.5,4,3,192,2004,2005
67,180000,19900,4154,2,3,2,301,1970,1989
68,226000,10665,2932,2,3,2,144,2003,2003
69,80000,4608,1494,1,2,1,0,1945,1950
70,225000,15593,3591,2,3,2,0,1953,1953
71,244000,13651,4446,2,3,2,300,1973,1973
72,129500,7599,1690,1,2,2,0,1982,2006
73,185000,10141,2550,2.5,3,2,0,1998,1998
74,144900,10200,2172,1,3,2,0,1954,2003
75,107400,5790,2445,2,3,1,0,1915,1950
76,91000,1596,1450,1,2,1,120,1973,1973
77,135750,8475,1904,1,2,1,0,1956,1956
78,127000,8635,1957,1,2,1,0,1948,2001
79,136500,10778,3536,2,4,0,0,1968,1968
80,110000,10440,1670,1.5,2,2,74,1910,1981
81,193500,13000,3038,2.5,4,1,0,1968,1968
82,153500,4500,2574,2,2,2,0,1998,1998
83,245000,10206,3126,2,3,3,144,2007,2007
84,126500,8892,2130,1.5,3,2,74,1960,1960
85,168500,8530,1858,2.5,3,2,120,1995,1996
86,260000,16059,3705,2.5,4,2,127,1991,1992
87,174000,11911,2244,2.5,3,2,100,2005,2005
88,164500,3951,1836,2.5,2,2,0,2009,2009
89,85000,8470,2026,1,2,0,0,1915,1982
90,123600,8070,1980,1,3,0,0,1994,1995
91,109900,7200,1040,1,2,2,0,1950,1950
92,98600,8500,2470,1,2,2,0,1961,1961
93,163500,13360,1840,1,2,2,0,1921,2006
94,133900,7200,3505,2,4,2,0,1910,1998
95,204750,9337,2610,2.5,3,2,0,1997,1997
96,185000,9765,2150,2.5,3,2,232,1993,1993
97,214000,10264,3176,2,3,2,158,1999,1999
98,94750,10921,1920,1,3,1,120,1965,1965
99,83000,10625,1293,1,2,1,0,1920,1950
100,128950,9320,2175,1.5,3,0,352,1959,1959
101,205000,10603,3220,2,3,2,168,1977,2001
102,178000,9206,2473,2.5,3,2,192,1985,1985
103,118964,7018,1535,2,4,2,0,1979,1979
104,198900,10402,2452,2,3,3,0,2009,2009
105,169500,7758,2858,1.5,4,1,0,1931,1950
106,250000,9375,3045,2.5,3,2,140,2003,2004
107,100000,10800,1688,1,2,1,0,1885,1995
108,115000,6000,1578,1,2,1,0,1948,1950
109,115000,8500,2310,2,3,0,0,1919,2005
110,190000,11751,3688,2,3,2,0,1977,1977
111,136900,9525,2849,2,4,1,182,1954,1972
112,180000,7750,1814,2.5,3,2,180,2000,2000
113,383970,9965,3960,2.5,4,3,120,2007,2007
114,217000,21000,4068,2,3,2,166,1953,1953
115,259500,7259,3348,2.5,3,1,224,1945,2002
116,176000,3230,2187,2.5,2,2,0,1999,1999
117,139000,11616,2184,1,3,1,0,1962,1962
118,155000,8536,2250,1.5,2,2,80,2006,2007
119,320000,12376,4895,3,5,3,367,1990,1990
120,163990,8461,2184,2.5,3,2,0,2005,2006
121,180000,21453,1926,1,1,2,0,1969,1969
122,100000,6060,1855,1,3,1,0,1939,1950
123,136000,9464,2160,1,3,1,0,1958,1958
124,153900,7892,2398,2,2,2,0,1993,1993
125,181000,17043,2948,2,3,2,192,1979,1998
126,84500,6780,1040,1,2,0,53,1935,1982
127,128000,4928,2036,2,2,2,0,1976,1976
128,87000,4388,1512,1,3,0,0,1930,1950
129,155000,7590,2008,1.5,3,2,188,1966,1966
130,150000,8973,2061,1.5,3,2,0,1958,1991
131,226000,14200,3081,2.5,4,2,105,1966,1966
132,244000,12224,3046,2.5,3,2,24,2000,2000
133,150750,7388,2390,1,3,2,0,1959,2002
134,220000,6853,2563,2,2,2,192,2001,2002
135,180000,10335,3182,2.5,3,2,0,1968,1993
136,174000,10400,2986,2,3,2,98,1970,1970
137,143000,10355,2428,2,3,1,0,1967,1967
138,171000,11070,3866,3,5,3,0,1988,1989
139,230000,9066,2856,2.5,3,3,224,1999,2000
140,231500,15426,2692,2.5,3,2,276,1997,1997
141,115000,10500,1728,1,3,0,0,1971,1971
142,260000,11645,3468,2,3,2,160,2005,2005
143,166000,8520,2295,2,4,2,0,1952,1952
144,204000,10335,2991,2,3,2,144,1999,1999
145,125000,9100,3456,2,6,2,0,1963,1963
146,130000,2522,2679,2,3,2,0,2004,2006
147,105000,6120,1590,1,2,1,48,1931,1993
148,222500,9505,2919,2.5,3,2,144,2001,2001
149,141000,7500,2160,1,3,0,0,2004,2005
150,115000,6240,2240,1,3,1,200,1936,1950
151,122000,10356,1938,1.5,3,2,0,1975,1975
152,372402,13891,3420,2,2,3,0,2007,2008
153,190000,14803,2818,2.5,4,2,0,1971,1971
154,235000,13500,2854,1,1,2,409,1960,1975
155,125000,11340,2400,1,4,1,0,1923,1950
156,79000,9600,1668,1,2,0,0,1924,1950
157,109500,7200,1040,1,2,2,0,1950,1950
158,269500,12003,2742,2.5,4,3,0,2009,2010
159,254900,12552,2938,2.5,3,2,0,2004,2005
160,320000,19378,3854,2.5,4,2,239,2005,2006
161,162500,11120,2464,2,3,2,0,1984,1984
162,412500,13688,4240,2.5,3,3,400,2003,2004
163,220000,12182,3082,2,3,2,0,2005,2005
164,103200,5500,1764,1,1,0,0,1956,1956
165,152000,5400,2765,2,3,1,0,1926,2004
166,127500,10106,1999,2,4,0,140,1940,1999
167,190000,10708,3484,1,2,1,476,1955,1993
168,325624,10562,3743,1.5,3,3,178,2007,2007
169,183500,8244,2560,2.5,3,2,100,2004,2004
170,228000,16669,3393,2.5,2,2,574,1981,1981
171,128500,12358,1574,1.5,2,2,237,1941,1950
172,215000,31770,2736,1,3,2,210,1960,1960
173,239000,5306,2831,2,2,2,441,1987,1987
174,163000,10197,2724,1.5,3,2,0,1961,1961
175,184000,12416,3257,2,3,2,192,1986,1986
176,243000,12615,3360,2,4,2,0,1950,2001
177,211000,10029,3211,2.5,4,2,0,1988,1989
178,172500,13650,2972,2,4,2,0,1958,1958
179,501837,17423,4450,2,1,3,0,2008,2009
180,100000,8520,1936,1,2,2,0,1923,2006
181,177000,2117,2281,2.5,3,2,0,2000,2000
182,200100,7588,2595,1.5,4,1,0,1920,1950
183,120000,9060,1340,1,3,1,116,1957,2006
184,200000,11426,3444,2.5,3,2,280,2003,2003
185,127000,7438,1756,1,3,2,104,1908,1991
186,475000,22950,4143,2.5,4,3,0,1892,1993
187,173000,9947,2405,2,3,2,168,1990,1991
188,135000,10410,2172,2.5,3,1,0,1916,1987
189,153337,7018,2310,1,2,2,120,1979,1979
190,286000,4923,3186,1.5,0,2,0,2001,2002
191,315000,10570,3580,2.5,3,2,0,1932,1994
192,184000,7472,2204,1.5,4,2,0,1972,2004
193,192000,9017,2862,2,3,2,0,1999,1999
194,130000,2522,2679,2,3,2,0,2004,2004
195,127000,7180,1728,1,3,1,0,1972,1972
196,148500,2280,2311,2.5,3,2,87,1976,1976
197,311872,9416,3452,2,3,3,171,2007,2007
198,235000,25419,4080,2,4,2,0,1918,1990
199,104000,5520,2613,1,5,0,0,1912,1950
200,274900,9591,3426,2,3,3,0,2004,2005
201,140000,8546,2242,2,2,2,132,2003,2004
202,171500,10125,2475,2,3,2,238,1977,1977
203,112000,7000,1927,2,2,1,0,1924,1950
204,149000,4438,1696,1,1,2,149,2004,2004
205,110000,3500,2004,1.5,2,1,0,1947,1950
206,180500,11851,2866,2,3,2,0,1990,1990
207,143900,13673,2836,1.5,3,1,0,1962,1962
208,141000,12493,2200,1,3,1,355,1960,1960
209,277000,14364,3219,2.5,3,2,60,1988,1989
210,145000,8250,2184,1,3,2,0,1964,1964
211,98000,5604,1728,1,2,0,0,1925,1950
212,186000,10420,2424,2,3,2,100,2009,2009
213,252678,8640,2752,2.5,3,2,168,2009,2009
214,156000,13568,1980,1,3,2,224,1995,1995
215,161750,10900,2081,1.5,3,1,0,1977,1977
216,134450,10011,2306,1,2,1,0,1957,1996
217,210000,8450,2872,2,3,2,139,2004,2004
218,107000,9906,2014,1,3,1,0,1925,1950
219,311500,15660,2752,1.5,3,2,0,1939,2006
220,167240,3010,2496,2,2,2,108,2005,2006
221,204900,8990,2996,2,2,2,351,2006,2006
222,200000,8068,3277,2.5,4,2,120,2002,2002
223,179900,11475,2265,2.5,3,2,209,1975,1975
224,97000,10500,1728,1,2,2,216,1971,1971
225,386250,13472,4784,2,3,3,248,2003,2003
226,112000,1680,1932,2.5,3,1,0,1971,1971
227,290000,9950,3723,2.5,4,3,224,1995,1995
228,106000,1869,1470,1.5,2,1,0,1970,1970
229,125000,8521,1824,1,3,1,0,1967,1967
230,192500,3182,2928,2,2,2,143,2005,2006
231,148000,8760,2388,1,3,1,0,1959,1959
232,403000,15138,4256,2.5,4,3,0,1995,1996
233,94500,1680,1470,1.5,2,1,0,1972,1972
234,128200,10650,1788,1,3,1,365,1976,1976
235,216500,7851,2820,2.5,4,2,288,2002,2002
236,89500,1680,1470,1.5,2,1,0,1971,1971
237,185500,8773,2828,2,3,2,132,2004,2004
238,194500,9453,2740,2.5,3,2,370,1993,2003
239,318000,12030,3388,2,3,3,168,2007,2007
240,113000,8741,2222,1.5,3,1,0,1945,1950
241,262500,9000,3132,2,3,2,144,2008,2008
242,110500,3880,1552,1,2,0,58,1945,1997
243,79000,5000,1980,1,3,1,0,1900,1950
244,120000,10762,1843,1.5,3,1,0,1980,1980
245,205000,8880,3058,2.5,3,2,0,1994,2002
246,241500,10400,3717,2,3,2,197,1988,1988
247,137000,9142,2948,2,4,1,0,1910,1950
248,140000,11310,2742,1,2,2,0,1954,1954
249,180000,11317,2508,2.5,3,2,144,2003,2003
250,277000,159000,3588,2,4,2,0,1958,2006
251,76500,5350,2034,1,3,0,263,1940,1966
252,235000,4750,3198,2,2,2,123,2006,2007
253,173000,8366,2438,2.5,3,2,138,2004,2004
254,158000,9350,2604,2,3,1,333,1964,1991
255,145000,8400,2628,1,3,1,250,1957,1957
256,230000,8738,3266,2.5,4,2,192,1999,1999
257,207500,8791,2592,2.5,3,2,216,2003,2003
258,220000,8814,3208,2.5,3,2,123,2006,2006
259,231500,12435,2755,2.5,3,2,0,2001,2001
260,97000,12702,882,1,2,1,0,1956,1956
261,176000,19296,2744,1,3,2,0,1962,1962
262,276000,9588,4056,2.5,3,3,0,2007,2007
263,151000,8471,1718,1,3,2,292,1977,1995
264,130000,5500,1852,1,3,2,0,1929,2001
265,73000,5232,1444,1,2,2,0,1925,2004
266,175500,12090,2844,2,3,2,276,1981,1981
267,185000,11207,2313,2.5,3,2,95,1997,1997
268,179500,8400,2492,2.5,4,1,262,1939,1997
269,120500,6900,1518,1,2,1,0,1940,1955
270,148000,7917,2256,1.5,3,1,370,1976,1976
271,266000,10728,3034,2.5,3,3,192,2006,2006
272,241500,39104,2748,1,2,2,81,1954,2005
273,290000,11764,3422,2.5,4,3,132,1999,2007
274,139000,9600,2872,2,3,1,289,1958,1988
275,124500,8314,1632,1,2,1,168,1982,1982
276,205000,7264,2500,2.5,3,2,74,1925,2007
277,201000,9196,3120,2,3,2,100,2003,2003
278,141000,19138,1728,1,2,2,0,1951,1951
279,415298,14450,4242,2.5,3,3,124,2006,2007
280,192000,10005,3182,2.5,4,2,288,1977,1977
281,228500,11287,2789,2.5,3,2,0,1989,1989
282,185000,7200,2524,2,2,2,0,2006,2006
283,207500,5063,2628,2,2,2,172,2007,2008
284,244600,9612,2936,2,3,3,210,2008,2009
285,179200,8012,3150,2,2,2,0,1992,1992
286,164700,4251,1875,2.5,2,2,0,2006,2007
287,159000,9786,2646,1.5,3,2,0,1962,1981
288,88000,8125,1716,1,3,0,0,1971,1971
289,122000,9819,1782,1,3,1,0,1967,1967
290,153575,8730,2094,1,3,1,0,1915,2003
291,233230,15611,2998,2.5,3,2,0,2006,2006
292,135900,5687,2496,2,6,0,0,1912,2000
293,131000,11409,2484,1.5,3,1,0,1949,2008
294,235000,16659,3058,2.5,3,2,0,1977,1994
295,167000,9600,3060,1,3,2,110,1953,1953
296,142500,7937,2006,1,3,2,120,1984,1984
297,152000,13710,2468,1.5,4,1,289,1950,1950
298,239000,7399,2925,2.5,3,2,0,1997,1998
299,175000,11700,2445,2,3,2,224,1968,1968
300,158500,14000,2244,1,3,1,0,1950,2004
301,157000,15750,2501,1,2,1,0,1953,1953
302,267000,16226,3480,2.5,4,2,208,1998,1999
303,205000,13704,3082,2,3,3,468,2001,2002
304,149900,9800,1788,1,3,2,256,1972,1972
305,295000,18386,4963,3,3,3,302,1880,2002
306,305900,10386,4000,2,3,3,168,2004,2005
307,225000,13474,2943,2.5,4,3,127,1990,1991
308,89500,7920,1725,1,3,0,0,1920,1950
309,82500,12342,1722,1,1,2,158,1940,1950
310,360000,12378,3840,2,3,3,208,2003,2004
311,165600,7685,2198,2.5,3,2,190,1993,1994
312,132000,8000,1944,1,2,1,0,1948,2002
313,119900,7800,1911,1,3,2,0,1939,1950
314,375000,215245,4172,2,3,2,0,1965,1965
315,178000,9600,2369,1.5,3,2,0,1925,1990
316,188500,7795,2148,2.5,3,2,100,2004,2005
317,260000,13005,3198,2.5,4,2,288,1980,1980
318,270000,9000,3047,2.5,3,3,208,2006,2006
319,260000,9900,3993,2.5,4,3,340,1993,1993
320,187500,14115,2844,2,3,2,233,1980,1980
321,342643,16259,3845,3.5,4,3,240,2006,2006
322,354000,12099,3604,2.5,4,3,184,2004,2004
323,301000,10380,4232,2.5,4,2,201,1986,1987
324,126175,5820,2325,1,3,1,142,1955,2005
325,242000,11275,3688,2.5,5,2,240,1967,2007
326,87000,5000,1523,1,2,2,0,1941,1950
327,324000,10846,3438,1.5,1,2,122,1993,1993
328,145250,11600,2766,1.5,3,1,0,1960,1960
329,214500,11888,2978,2,5,2,0,1916,1994
330,78000,6402,1788,1,3,1,0,1920,1950
331,119000,10624,3456,2,6,1,155,1964,1964
332,139000,8176,2112,1,3,1,0,1958,1992
333,284000,10655,4835,2,3,3,0,2003,2004
334,207000,8198,2716,2,2,2,192,2004,2004
335,192000,9042,2581,2.5,3,2,100,1998,1998
336,228950,164660,3285,2,3,2,670,1965,1965
337,377426,14157,3844,2,3,3,178,2005,2006
338,214000,9135,3072,2,3,2,192,2002,2003
339,202500,14145,2829,2,3,2,108,1984,1998
340,155000,12400,2430,1,3,1,0,1958,1998
341,202900,14191,2875,2.5,4,2,135,2002,2002
342,82000,8400,1562,1,2,1,250,1950,1950
343,87500,8544,1040,2,2,2,0,1949,1950
344,266000,8849,3368,2,2,2,495,2005,2005
345,85000,2592,1648,1.5,3,1,182,1976,1976
346,140200,6435,2549,1,3,1,0,1939,1950
347,151500,12772,1916,1,2,1,0,1960,1998
348,157500,17600,2956,2,3,2,0,1960,1960
349,154000,2448,2390,2.5,2,2,0,2003,2004
350,437154,20431,4576,2.5,4,3,0,2005,2006
351,318061,7820,3738,2,2,2,210,2007,2007
352,190000,5271,2906,1.5,2,2,0,1986,1986
353,95000,9084,1727,1,3,1,48,1941,1950
354,105900,8520,1344,1,2,2,106,1928,2003
355,140000,8400,2535,1,2,1,0,1940,2000
356,177500,11249,2400,2,3,2,0,1995,1995
357,173000,9248,2325,2,3,2,120,1992,1992
358,134000,4224,2284,1.5,3,2,536,1976,1976
359,130000,6930,2414,1,3,1,168,1958,1958
360,280000,12011,3010,2.5,3,2,208,1998,1998
361,156000,7540,1800,1,2,2,0,1978,1978
362,145000,9144,2388,1,3,1,0,1940,1982
363,198500,7301,1922,3,4,2,0,2003,2003
364,118000,1680,1470,1.5,2,1,250,1972,2007
365,190000,18800,2370,2.5,3,2,306,1976,1976
366,147000,10690,2016,1,3,1,0,1920,1997
367,159000,9500,2788,1.5,3,2,0,1963,1963
368,165000,9150,2530,1,3,1,64,1962,1962
369,132000,7800,2536,1,2,1,0,1954,1954
370,162000,9830,2350,1,3,2,364,1959,2006
371,172400,8121,2617,2.5,3,2,100,2000,2000
372,134432,17120,1588,2,4,2,0,1959,1959
373,125000,7175,1496,1,2,1,353,1984,1984
374,123000,10634,1927,1,3,1,66,1953,1953
375,219500,8200,2775,2.5,4,2,100,2003,2004
376,61000,10020,1587,0.5,1,0,0,1922,1950
377,148000,8846,1784,1,2,2,0,1996,1996
378,340000,11143,4046,3,4,2,159,2004,2005
379,394432,11394,3712,1.5,1,3,113,2010,2010
380,179000,8123,2782,2.5,3,2,100,2000,2000
381,127000,5000,2717,2,3,1,0,1924,1950
382,187750,7200,2594,2,2,2,216,2006,2006
383,213500,9245,2736,2.5,3,2,144,2006,2006
384,76000,9000,1568,1,2,2,0,1928,1950
385,240000,53107,3533,2.5,3,2,216,1992,1992
386,192000,3182,2525,2,2,2,146,2004,2005
387,81000,8410,1842,1,5,0,0,1910,1996
388,125000,7200,2166,1,3,1,296,1976,1976
389,191000,9382,2947,2,3,2,120,1999,2000
390,426000,12474,4014,2.5,3,3,196,2007,2008
391,119000,8405,2228,1,4,1,0,1900,1950
392,215000,12209,2765,2.5,3,2,125,2001,2002
393,106500,8339,882,1,3,1,0,1959,1959
394,100000,7446,1576,1,2,0,0,1941,1950
395,109000,10134,1769,1,2,1,0,1940,1950
396,129000,9571,2288,1,3,1,44,1956,1956
397,123000,7200,1788,1,2,2,215,1972,1972
398,169500,7590,2676,2,4,1,0,1962,1962
399,67000,8967,2038,1,2,1,0,1920,1950
400,241000,8125,2642,2,2,2,0,2006,2007
401,245500,14963,2548,1.5,1,2,120,1996,1996
402,164990,8767,2620,2,3,2,0,2005,2005
403,108000,10200,1344,1,2,1,168,1940,1997
404,258000,12090,3404,2.5,4,2,144,1998,1998
405,168000,10364,2378,2.5,3,2,0,1995,1996
406,150000,9991,2901,2,3,2,120,1976,1993
407,115000,10480,2230,1,3,1,0,1936,1950
408,177000,15576,2520,2,4,1,0,1915,1976
409,280000,14154,3235,2.5,3,3,192,2006,2006
410,339750,10800,3112,2.5,3,3,0,2007,2008
411,60000,9571,2552,1,3,1,0,1958,1958
412,145000,34650,2112,1,3,2,264,1955,1955
413,222000,4403,2948,2.5,2,2,0,2009,2009
414,115000,8960,2036,1,2,2,0,1927,1950
415,228000,11228,3177,2.5,3,3,196,1993,1993
416,181134,8899,2680,2,3,2,100,2007,2007
417,149500,7844,2072,1.5,3,2,0,1978,1978
418,239000,22420,3994,2.5,4,3,0,1918,1950
419,126000,8160,1890,1.5,3,1,0,1940,1950
420,142000,8450,2112,1,3,1,0,1968,1968
421,206300,7060,2688,2,2,4,0,1997,1998
422,215000,16635,3204,2,3,2,240,1977,2000
423,113000,21750,1976,1,2,2,0,1954,1954
424,315000,9200,4100,2.5,4,3,0,1998,1998
425,139000,9000,2392,1,2,1,0,1956,1956
426,135000,3378,2040,1.5,3,1,0,1946,1992
427,275000,12800,3162,2,2,2,80,1989,1989
428,109008,8593,1814,1,3,1,0,1957,1957
429,195400,6762,2416,2,2,2,105,2007,2007
430,175000,11457,2804,2,3,2,0,1988,1988
431,85400,1680,1470,1.5,2,1,0,1971,1971
432,79900,5586,2099,1,4,0,0,1920,1998
433,122500,1920,2130,1.5,2,2,240,1971,1971
434,181000,10839,2530,2.5,3,2,0,1997,1998
435,81000,1890,1260,1,1,0,88,1972,1972
436,212000,10667,2460,2.5,3,2,158,1996,1996
437,116000,4400,1766,1,2,2,0,1920,1950
438,119000,6000,1788,1,2,1,0,1926,2004
439,90350,4280,1134,1,2,1,0,1913,2002
440,110000,12354,1880,1,3,2,0,1920,2000
441,555000,15431,5496,2,2,3,0,2008,2008
442,118000,12108,2880,2,4,0,0,1955,1955
443,162900,6240,2651,2,3,2,0,1930,1992
444,172500,3922,2516,2,2,3,144,2006,2007
445,210000,8750,2823,2.5,4,2,144,1994,1995
446,127500,9855,3125,1,3,2,0,1956,1956
447,190000,16492,3405,2.5,2,2,0,1966,2002
448,199900,11214,2816,2.5,4,2,89,1998,1999
449,119500,8600,2156,2,3,1,0,1937,1950
450,120000,6000,1832,1.5,2,1,0,1948,2002
451,110000,5684,1626,1,2,1,0,1930,2005
452,280000,70761,3066,2,2,2,200,1975,1975
453,204000,9303,2628,2.5,3,2,144,1996,1997
454,210000,9000,2358,2.5,3,2,0,2008,2008
455,188000,9297,3456,2,4,2,0,1976,1976
456,175500,9600,2484,1.5,3,2,0,1973,1973
457,98000,4571,1968,1,4,3,0,1916,1950
458,256000,53227,3027,1,2,2,224,1954,1994
459,161000,5100,2254,1,3,1,192,1925,1996
460,110000,7015,1912,1,3,1,0,1950,1950
461,263435,8004,2767,2.5,3,2,0,2009,2009
462,155000,7200,1695,1,3,2,256,1936,2007
463,62383,8281,1728,1,3,1,0,1965,1965
464,188700,11988,2375,1.5,3,1,0,1934,1995
465,124000,8430,2080,2,3,0,0,1978,1978
466,178740,3072,2789,2,2,2,144,2004,2004
467,167000,10628,2554,1,2,2,0,1970,1970
468,146500,9480,2372,1.5,3,1,168,1942,1995
469,250000,11428,3260,2,3,3,0,2006,2006
470,187000,9291,2542,2.5,3,2,144,1993,1993
471,212000,6820,2990,1.5,1,2,0,1985,1985
472,190000,11952,2777,2.5,3,2,0,1977,1977
473,148000,3675,1619,1,2,2,0,2005,2005
474,440000,14977,3952,2,2,3,250,2006,2007
475,251000,5330,3146,2,2,2,96,2000,2000
476,132500,8480,1940,1,2,2,0,1963,1963
477,208900,13125,2971,2,3,2,140,1997,1998
478,380000,13693,4796,2.5,3,3,414,2006,2006
479,297000,10637,3423,2,3,3,208,2007,2008
480,89471,5925,2038,1,2,2,0,1937,2000
481,326000,16033,3683,2,3,3,519,2004,2005
482,374000,11846,3584,2,2,3,206,2003,2004
483,155000,2500,2736,1.5,4,1,0,1915,2005
484,164000,4500,2432,2,2,2,0,1998,1998
485,132500,7758,1998,1,3,1,0,1962,2001
486,147000,9600,2226,1,3,1,0,1950,2007
487,156000,10289,2146,1.5,3,2,0,1965,1965
488,175000,12243,2968,2,3,2,224,1971,1971
489,160000,10800,3368,2,3,2,142,1900,1970
490,86000,1526,1260,1,1,1,0,1970,2002
